metric,paper_value,our_value,delta_our_minus_paper
ct_without_concepts_accuracy,0.769,0.8446668967897826,0.07566689678978256
ct_with_concepts_accuracy,0.88,0.83569209527097,-0.04430790472903001
concept_gain,0.11099999999999999,-0.00897480151881258,-0.11997480151881257
